City,OtherName,Country,Latitude,Longitude,Certainty,year,pop
Shahr-e Sukhteh,Shakr-I-Sohta,Iran,30.595278000,61.326389000,1,-2300,10000
Susa,,Iran,32.190850000,48.246028000,1,-2300,10000
Tell Taya,Samiatum,Iraq,36.332618770,42.493752900,1,-2300,15000
Titris Hoyuk,,Turkey,37.476220000,38.676116000,3,-2300,10000
Umma,,Sumer,31.621104800,45.933445870,1,-2300,40000
Ur,,Iraq,30.962659000,46.103210000,1,-2300,20000
Urkesh,Urkiesh_ Urkish_ Tell Mozan,Syria,37.056944000,40.997222000,3,-2300,20000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-2300,30000
Zabalam,Zabala,Iraq,31.743333000,45.876667000,2,-2300,10000
Ebla,,Syria,35.798397540,36.798728120,1,-2250,30000
Nippur,,Iraq,32.126938580,45.230785340,1,-2250,30000
Adab,,Iraq,31.947008070,45.968421340,1,-2200,30000
Akkad,,Iraq,32.771561920,44.320459160,2,-2200,30000
Anshan,,Iran,30.012019580,52.408576580,1,-2200,10000
Dholavira,,India,23.886111000,70.216667000,1,-2200,15000
Girsu,,Iraq,31.560025790,46.175428300,1,-2200,50000
Harappa,,Pakistan,30.629836460,72.866145610,1,-2200,20000
Memphis,,Egypt,29.844722000,31.250833000,2,-2200,30000
Mohenjodaro,Mohenjo-Daro,Pakistan,27.325334940,68.132930140,1,-2200,40000
Nagar,Tell Brak,Syria,36.667392310,41.058653930,1,-2200,15000
Namazga-Tepe,Namazga-depe,Turkmenistan,37.372778000,59.556944000,1,-2200,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-2200,30000
Rakhigarhi,Rakhi Garhi,India,29.288611000,76.113056000,1,-2200,10000
Susa,,Iran,32.190850000,48.246028000,1,-2200,10000
Titris Hoyuk,,Turkey,37.476220000,38.676116000,3,-2200,10000
Umma,,Sumer,31.621104800,45.933445870,1,-2200,10000
Ur,,Iraq,30.962659000,46.103210000,1,-2200,40000
Zabalam,Zabala,Iraq,31.743333000,45.876667000,2,-2200,10000
Adab,,Iraq,31.947008070,45.968421340,1,-2100,10000
Anshan,,Iran,30.012019580,52.408576580,1,-2100,10000
Dholavira,,India,23.886111000,70.216667000,1,-2100,10000
Girsu,,Iraq,31.560025790,46.175428300,1,-2100,80000
Harappa,,Pakistan,30.629836460,72.866145610,1,-2100,15000
Mari,,Syria,34.549628720,40.889258330,1,-2100,30000
Mohenjodaro,Mohenjo-Daro,Pakistan,27.325334940,68.132930140,1,-2100,20000
Nagar,Tell Brak,Syria,36.667392310,41.058653930,1,-2100,10000
Namazga-Tepe,Namazga-depe,Turkmenistan,37.372778000,59.556944000,1,-2100,10000
Nina,Surghul,Iraq,31.411389000,46.407222000,3,-2100,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-2100,30000
Rakhigarhi,Rakhi Garhi,India,29.288611000,76.113056000,1,-2100,10000
Susa,,Iran,32.190850000,48.246028000,1,-2100,10000
Umma,,Sumer,31.621104800,45.933445870,1,-2100,20000
Ur,,Iraq,30.962659000,46.103210000,1,-2100,100000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-2100,30000
Zabalam,Zabala,Iraq,31.743333000,45.876667000,2,-2100,10000
Adab,,Iraq,31.947008070,45.968421340,1,-2000,10000
Anshan,,Iran,30.012019580,52.408576580,1,-2000,10000
Dholavira,,India,23.886111000,70.216667000,1,-2000,10000
Girsu,,Iraq,31.560025790,46.175428300,1,-2000,40000
Harappa,,Pakistan,30.629836460,72.866145610,1,-2000,10000
Isin,,Iraq,31.884878010,45.269257500,1,-2000,40000
Larsa,,Iraq,31.283975350,45.853046530,1,-2000,40000
Mari,,Syria,34.549628720,40.889258330,1,-2000,30000
Memphis,,Egypt,29.844722000,31.250833000,2,-2000,60000
Mohenjodaro,Mohenjo-Daro,Pakistan,27.325334940,68.132930140,1,-2000,10000
Mundigak,,Afghanistan,31.906717540,65.497855910,1,-2000,10000
Namazga-Tepe,Namazga-depe,Turkmenistan,37.372778000,59.556944000,1,-2000,10000
Nina,Surghul,Iraq,31.411389000,46.407222000,3,-2000,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-2000,30000
Rakhigarhi,Rakhi Garhi,India,29.288611000,76.113056000,1,-2000,10000
Susa,,Iran,32.190850000,48.246028000,1,-2000,25000
Susa,,Iran,32.190850000,48.246028000,1,-2000,25000
Umma,,Sumer,31.621104800,45.933445870,1,-2000,25000
Ur,,Iraq,30.962659000,46.103210000,1,-2000,65000
Ur,,Iraq,30.962659000,46.103210000,1,-2000,20000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-2000,30000
Zabalam,Zabala,Iraq,31.743333000,45.876667000,2,-2000,10000
Adab,,Iraq,31.947008070,45.968421340,1,-1900,10000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1900,10000
Dilmun,,Iraq,26.121639720,50.498941170,1,-1900,10000
Ebla,,Syria,35.798397540,36.798728120,1,-1900,10000
Elephantine,,Egypt,24.083333000,32.883333000,1,-1900,16000
Isin,,Iraq,31.884878010,45.269257500,1,-1900,40000
Larsa,,Iraq,31.283975350,45.853046530,1,-1900,40000
Mari,,Syria,34.549628720,40.889258330,1,-1900,30000
Mundigak,,Afghanistan,31.906717540,65.497855910,1,-1900,10000
Nagar,Tell Brak,Syria,36.667392310,41.058653930,1,-1900,10000
Nina,Surghul,Iraq,31.411389000,46.407222000,3,-1900,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-1900,20000
Ur,,Iraq,30.962659000,46.103210000,1,-1900,10000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-1900,30000
Zabalam,Zabala,Iraq,31.743333000,45.876667000,2,-1900,10000
Adab,,Iraq,31.947008070,45.968421340,1,-1800,10000
Aleppo,Alep,Syria,36.216667000,37.166667000,2,-1800,10000
Anshan,,Iran,30.012019580,52.408576580,1,-1800,10000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1800,15000
Avaris,Pi-Rameses,Egypt,30.786295660,31.822217730,1,-1800,20000
Badtibira,,Iraq,31.766667000,46.004444000,1,-1800,10000
Ebla,,Syria,35.798397540,36.798728120,1,-1800,10000
Elephantine,,Egypt,24.083333000,32.883333000,1,-1800,16000
Eshnunna,Tell Asmar,Iraq,33.484167000,44.728333000,1,-1800,10000
Hazor,Tel Hazor,Israel,33.017455380,35.568501400,1,-1800,16000
Isin,,Iraq,31.884878010,45.269257500,1,-1800,20000
Larsa,,Iraq,31.283975350,45.853046530,1,-1800,40000
Mari,,Syria,34.549628720,40.889258330,1,-1800,60000
Memphis,,Egypt,29.844722000,31.250833000,2,-1800,30000
Mohenjodaro,Mohenjo-daro,Pakistan,27.325334940,68.132930140,1,-1800,20000
Mundigak,,Afghanistan,31.906717540,65.497855910,1,-1800,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-1800,20000
Qatna,,Syria,34.835000000,36.865833000,1,-1800,20000
Shehna,Tell Leilan_ Shubat-Enlil,Syria,36.957222000,41.505278000,3,-1800,10000
Susa,,Iran,32.190850000,48.246028000,1,-1800,25000
Susa,,Iran,32.190850000,48.246028000,1,-1800,10000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1800,10000
Umma,,Sumer,31.621104800,45.933445870,1,-1800,40000
Zabalam,Zabala,Iraq,31.743333000,45.876667000,2,-1800,10000
Aleppo,Alep,Syria,36.216667000,37.166667000,2,-1700,10000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1700,10000
Avaris,Pi-Rameses,Egypt,30.786295660,31.822217730,1,-1700,20000
Babylon,,Iraq,32.536389000,44.420833000,1,-1700,60000
Carchemish,Karkemish,Turkey_Syria,36.829722000,38.015000000,1,-1700,10000
Ebla,,Syria,35.798397540,36.798728120,1,-1700,10000
Elephantine,,Egypt,24.083333000,32.883333000,1,-1700,16000
Erlitou,,China,34.701758000,112.697078000,1,-1700,40000
Knossos,,Greece,35.297951600,25.163297440,1,-1700,15000
Qatna,,Syria,34.835000000,36.865833000,1,-1700,20000
Susa,,Iran,32.190850000,48.246028000,1,-1700,10000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1700,10000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1600,10000
Avaris,near Pi-Rameses,Egypt,30.786295660,31.822217730,2,-1600,100000
Avaris,Pi-Rameses,Egypt,30.786295660,31.822217730,1,-1600,50000
Babylon,,Iraq,32.536389000,44.420833000,1,-1600,60000
Babylon,,Iraq,32.536389000,44.420833000,1,-1600,60000
Bo ,Yanshi,China,34.733333000,112.783333000,1,-1600,24000
Carchemish,Karkemish,Turkey_Syria,36.829722000,38.015000000,1,-1600,20000
Hattusa,Hattusah_ Khattushash_ Bogazkale,Turkey,40.019722000,34.615278000,1,-1600,30000
Hazor,Tel Hazor,Israel,33.017455380,35.568501400,1,-1600,24000
Hazor,Tel Hazor,Israel,33.017455380,35.568501400,1,-1600,20000
Knossos,,Greece,35.297951600,25.163297440,1,-1600,15000
Nineveh,,Iraq,36.359444000,43.152778000,1,-1600,10000
Qatna,,Syria,34.835000000,36.865833000,1,-1600,20000
Susa,,Iran,32.190850000,48.246028000,1,-1600,25000
Susa,,Iran,32.190850000,48.246028000,1,-1600,10000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1600,10000
Akrotiri,,Greece,36.351389000,25.403611000,1,-1500,20000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1500,10000
Carchemish,Karkemish,Turkey_Syria,36.829722000,38.015000000,1,-1500,10000
Knossos,,Greece,35.297951600,25.163297440,1,-1500,50000
Nineveh,,Iraq,36.359444000,43.152778000,1,-1500,10000
Susa,,Iran,32.190850000,48.246028000,1,-1500,10000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1500,60000
Ao,Zhengzhou,China,34.766667000,113.650000000,2,-1400,32000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1400,10000
Carchemish,Karkemish,Turkey_Syria,36.829722000,38.015000000,1,-1400,10000
Heliopolis,,Egypt,30.129528000,31.288889000,3,-1400,30000
Jarkutan,,Uzbekistan,39.750833000,68.775833000,3,-1400,20000
Kition,Citium ,Cyprus,34.916667000,33.633333000,1,-1400,30000
Nineveh,,Iraq,36.359444000,43.152778000,1,-1400,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-1400,20000
Susa,,Iran,32.190850000,48.246028000,1,-1400,10000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1400,80000
Ugarit,,Syria,35.602288650,35.786562770,1,-1400,10000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-1400,30000
Amarna,,Egypt,27.645289630,30.896242440,1,-1360,30000
Ao,Zhengzhou,China,34.766667000,113.650000000,2,-1360,32000
Dur-Kurigalzu,,Iraq,33.353558250,44.202353670,1,-1360,40000
Hattusa,"Hattusah, Khattushash, Bogazkale",Turkey,40.021111000,34.609722000,2,-1360,45000
Hazor,Tel Hazor,Israel,33.017455380,35.568501400,1,-1360,24000
Heliopolis,,Egypt,30.129528000,31.288889000,3,-1360,30000
Knossos,,Greece,35.297951600,25.163297440,1,-1360,30000
Memphis,,Egypt,29.844722000,31.250833000,2,-1360,32000
Mycenae,,Greece,37.730387210,22.757881160,1,-1360,30000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1360,80000
Ugarit,,Syria,35.602288650,35.786562770,1,-1360,24000
Uruk,Erech,Iraq,31.322222000,45.636111000,2,-1360,25000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1300,15000
Carchemish,Karkemish,Turkey_Syria,36.829722000,38.015000000,1,-1300,10000
Hattusa,Hattusah_ Khattushash_ Bogazkale,Turkey,40.019722000,34.615278000,1,-1300,60000
Heliopolis,,Egypt,30.129528000,31.288889000,3,-1300,30000
Hermopolis,,Egypt,27.781389000,30.803889000,1,-1300,30000
Jarkutan,,Uzbekistan,39.750833000,68.775833000,3,-1300,20000
Kition,Citium ,Cyprus,34.916667000,33.633333000,1,-1300,30000
Nineveh,,Iraq,36.359444000,43.152778000,1,-1300,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-1300,30000
Sapinuwa,Shapinuwa,Turkey,40.266667000,35.250000000,1,-1300,75000
Susa,,Iran,32.190850000,48.246028000,1,-1300,10000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1300,80000
Troy,,Turkey,39.957500000,26.238889000,1,-1300,10000
Ugarit,,Syria,35.602288650,35.786562770,1,-1300,10000
Uruk,Erech,Iraq,31.322222000,45.636111000,1,-1300,30000
Yin,Yinxu,China,36.139444000,114.303056000,1,-1300,120000
Anyang,,China,36.099440000,114.328890000,3,-1200,30000
Argos,Argolis,Greece,37.633330000,22.733330000,1,-1200,24000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1200,20000
Babylon,,Iraq,32.536389000,44.420833000,1,-1200,75000
Dur-Kurigalzu,,Iraq,33.353558250,44.202353670,1,-1200,40000
Dur-Untash,Chogha Zanbil,Iran,32.008333000,48.520833000,1,-1200,10000
Hattusa,"Hattusah, Khattushash, Bogazkale",Turkey,40.021111000,34.609722000,2,-1200,48000
Hattusa,Hattusah_ Khattushash_ Bogazkale,Turkey,40.019722000,34.615278000,1,-1200,60000
Heliopolis,,Egypt,30.129528000,31.288889000,3,-1200,30000
Hermopolis,,Egypt,27.781389000,30.803889000,1,-1200,30000
Isin,,Iraq,31.884878010,45.269257500,1,-1200,40000
Memphis,,Egypt,29.844722000,31.250833000,2,-1200,50000
Memphis,,Egypt,29.844722000,31.250833000,2,-1200,75000
Mycenae,,Greece,37.730387210,22.757881160,1,-1200,30000
Navarino,Pylos,Greece,36.916667000,21.700000000,1,-1200,10000
Nineveh,,Iraq,36.359444000,43.152778000,1,-1200,10000
Nippur,,Iraq,32.126938580,45.230785340,1,-1200,20000
Pi-Ramesses,,Egypt,30.798889000,31.835833000,2,-1200,160000
Sanxingdui,,China,30.993000000,104.200000000,1,-1200,35000
Sapinuwa,Shapinuwa,Turkey,40.266667000,35.250000000,1,-1200,60000
Susa,,Iran,32.190850000,48.246028000,1,-1200,30000
Susa,,Iran,32.190850000,48.246028000,1,-1200,20000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1200,150000
Ugarit,,Syria,35.602288650,35.786562770,1,-1200,10000
Yin,Yinxu,China,36.139444000,114.303056000,1,-1200,120000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1100,12000
Babylon,,Iraq,32.536389000,44.420833000,1,-1100,75000
Heliopolis,,Egypt,30.129528000,31.288889000,3,-1100,20000
Memphis,,Egypt,29.844722000,31.250833000,2,-1100,100000
Nineveh,,Iraq,36.359444000,43.152778000,1,-1100,10000
Pi-Ramesses,,Egypt,30.798889000,31.835833000,2,-1100,120000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1100,100000
Assur,Ashur,Iraq,35.456667000,43.262500000,1,-1000,12000
Babylon,,Iraq,32.536389000,44.420833000,1,-1000,100000
Heliopolis,,Egypt,30.129528000,31.288889000,3,-1000,20000
Luoyang,Honan,China,34.669722000,112.442222000,2,-1000,50000
Memphis,,Egypt,29.844722000,31.250833000,2,-1000,100000
Nineveh,,Iraq,36.359444000,43.152778000,1,-1000,10000
Pyongyang,"P'yongyang, Tonggoo",Dem. People's Republic of Korea,39.033850000,125.754320000,1,-1000,25000
Susa,,Iran,32.190850000,48.246028000,1,-1000,25000
Tanis,,Egypt,30.976944000,31.880000000,1,-1000,35000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-1000,120000
Tyre,,Lebanon,33.273330000,35.193890000,1,-1000,10000
Babylon,,Iraq,32.536389000,44.420833000,1,-900,100000
Caracol,El Caracol,Mexico,20.679200000,-88.570700000,3,-900,100000
Memphis,,Egypt,29.844722000,31.250833000,2,-900,100000
Teotihuacan,,Mexico,19.692910010,-98.846060000,1,-900,100000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-900,100000
Tikal,Tical,Guatemala,17.222094000,-89.623614000,1,-900,100000
Babylon,,Iraq,32.536389000,44.420833000,1,-800,100000
Caracol,El Caracol,Mexico,20.679200000,-88.570700000,3,-800,100000
Jerusalem,,Israel,31.769040000,35.216330000,1,-800,36000
Luoyang,Honan,China,34.669722000,112.442222000,2,-800,50000
Memphis,,Egypt,29.844722000,31.250833000,2,-800,100000
Nimrud,Calah,Iraq,36.098131540,43.328756120,1,-800,50000
Pyongyang,"P'yongyang, Tonggoo",Dem. People's Republic of Korea,39.033850000,125.754320000,1,-800,25000
Samaria,"Shomron, omron ",Palestine,32.276169561,35.190405050,1,-800,27000
Susa,,Iran,32.190850000,48.246028000,1,-800,27000
Teotihuacan,,Mexico,19.692910010,-98.846060000,1,-800,150000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-800,100000
Tikal,Tical,Guatemala,17.222094000,-89.623614000,1,-800,100000
Samarkand,Sumarqand,Uzbekistan,39.657600000,66.947561000,1,-712,45000
Babylon,,Iraq,32.536389000,44.420833000,1,-700,100000
Caracol,El Caracol,Mexico,20.679200000,-88.570700000,3,-700,140000
Linzi,,China,36.816700000,118.300000000,1,-700,100000
Luoyang,Honan,China,34.669722000,112.442222000,1,-700,100000
Memphis,,Egypt,29.844722000,31.250833000,2,-700,100000
Nineveh,,Iraq,36.359444000,43.152778000,1,-700,100000
Teotihuacan,,Mexico,19.692910010,-98.846060000,1,-700,100000
Thebes,Waset,Egypt,25.720556000,32.610278000,1,-700,100000
Babylon,,Iraq,32.536389000,44.420833000,1,-650,60000
Jerusalem,,Israel,31.769040000,35.216330000,1,-650,45000
Luoyang,Honan,China,34.669722000,112.442222000,2,-650,70000
Mareb,Marib,Yemen,15.404274770,45.355823000,1,-650,45000
Miletus,,Turkey,37.530278000,27.278333000,2,-650,50000
Nimrud,Calah,Iraq,36.098131540,43.328756120,1,-650,40000
Nineveh,,Iraq,36.359444000,43.152778000,2,-650,120000
Pyongyang,"P'yongyang, Tonggoo",Dem. People's Republic of Korea,39.033850000,125.754320000,1,-650,30000
Sais,Sa el-Hagar ,Egypt,30.964854380,30.768726990,1,-650,48000
Susa,,Iran,32.190850000,48.246028000,1,-650,30000
Babylon,,Iraq,32.536389000,44.420833000,1,-600,200000
Caracol,El Caracol,Mexico,20.679200000,-88.570700000,3,-600,100000
Carthage,,Tunisia,36.858056000,10.330833000,3,-600,100000
Linzi,,China,36.816700000,118.300000000,1,-600,100000
Luoyang,Honan,China,34.669722000,112.442222000,1,-600,200000
Teotihuacan,,Mexico,19.692910010,-98.846060000,1,-600,100000
Tikal,Tical,Guatemala,17.222094000,-89.623614000,1,-600,100000
Anyi,,China,28.838900000,115.599000000,3,-500,100000
Babylon,,Iraq,32.536389000,44.420833000,1,-500,200000
Caracol,El Caracol,Mexico,20.679200000,-88.570700000,3,-500,100000
Carthage,,Tunisia,36.858056000,10.330833000,3,-500,100000
Ecbatana,,Iran,34.805331792,48.517387690,1,-500,100000
Handan,Ye,China,36.600000000,114.483333000,3,-500,100000
Kaifeng,,China,34.798600000,114.307420000,1,-500,100000
Linzi,,China,36.816700000,118.300000000,1,-500,200000
Luoyang,Honan,China,34.669722000,112.442222000,1,-500,200000
Memphis,,Egypt,29.844722000,31.250833000,2,-500,100000
Qufu,Lu,China,35.600000000,117.033333000,1,-500,100000
Rajagriha,Rajgir,India,25.030000000,85.420000000,2,-500,100000
Rome,,Italy,41.894740000,12.483900000,1,-500,100000
Shangqi,Shanghi,China,31.222220000,121.458060000,3,-500,100000
Syracuse,,Greece,37.060822370,15.294202640,2,-500,100000
Tiahuanaco,Tiwanaku,Bolivia,-16.552280000,-68.679530000,1,-500,100000
Agrigento,Agrigentum,Italy,37.290827650,13.584272040,1,-430,40000
Argos,Argolis,Greece,37.633330000,22.733330000,1,-430,40000
Athens,,Greece,37.979450000,23.716220000,1,-430,155000
Babylon,,Iraq,32.536389000,44.420833000,1,-430,200000
Carthage,,Tunisia,36.858100000,10.330800000,3,-430,50000
Changsha,,China,28.196111000,112.972222000,1,-430,40000
Corinth,,Greece,37.938636000,22.932228000,1,-430,70000
Crotone,Croton,Italy,39.081445360,17.128804220,2,-430,35000
Cyrene,near present-day Shahhat,Libya,32.819014980,21.855832960,3,-430,35000
Damascus,,Syria,33.510200000,36.291280000,1,-430,30000
Ecbatana,,Iran,34.805331792,48.517387690,1,-430,90000
Elis,Eleia,Greece,37.891892260,21.373480050,1,-430,30000
Gela,,Italy,37.080340000,14.230680000,1,-430,35000
Jerusalem,,Israel,31.769040000,35.216330000,1,-430,49000
Kerkira,"Corfu, Corcyra,  Krkira",Greece,39.583333000,19.866667000,2,-430,35000
Lucheng,,China,36.316667000,113.216667000,3,-430,50000
Luoyang,Honan,China,34.669722000,112.442222000,2,-430,100000
Memphis,,Egypt,29.844722000,31.250833000,2,-430,100000
Messina,,Italy,38.193270000,15.549690000,1,-430,38000
Patna,,India,25.610533000,85.141450000,1,-430,100000
Perspolis,,Iran,29.934487480,52.890965580,1,-430,50000
Rome,,Italy,41.894740000,12.483900000,1,-430,35000
Sardis,Sardes,Turkey,38.482267230,28.047590860,1,-430,35000
Sidon,,Lebanon,33.559930000,35.375640000,1,-430,36000
Sparti,"Sprti, Sparta",Greece,37.081821580,22.423445600,1,-430,40000
Susa,,Iran,32.190850000,48.246028000,1,-430,70000
Suzhou,Soochow,China,31.300000000,120.600000000,1,-430,60000
Syracuse,,Greece,37.060822370,15.294202640,2,-430,125000
Taranto,"Tartentum, Tarentum",Italy,40.470545090,17.245553780,3,-430,40000
